Layer,Analyte,Thickness plasmonics nm,Thicknes analyte nm,Core Diameter nm,Wavelength,Core Real,Core Imaginary,Confinement Loss
Au,1.4174,30,1570,3000,1000,1.444874183,3.48E-04,190.0109178
Au,1.4174,30,1570,3000,1050,1.443832812,5.44E-05,28.28770983
Au,1.4174,30,1570,3000,1100,1.442562104,3.45E-05,17.0928722
Au,1.4174,30,1570,3000,1150,1.441294446,4.21E-05,19.96160762
Au,1.4174,30,1570,3000,1200,1.43997511,6.81E-05,30.95968243
Au,1.4174,30,1570,3000,1250,1.4385496,1.41E-04,61.52959425
Au,1.4174,30,1570,3000,1300,1.436796366,4.16E-04,174.7355256
Au,1.4174,30,1570,3000,1350,1.433760206,0.001524046,616.1194383
Au,1.4174,30,1570,3000,1400,1.43643748,3.50E-04,136.3125382
Au,1.4174,30,1570,3000,1450,1.434740358,1.47E-04,55.30256579
Au,1.4174,30,1570,3000,1500,1.433224325,7.96E-05,28.96814614
Au,1.4174,30,1570,3000,1550,1.431750322,5.43E-05,19.11933105
Au,1.4174,30,1570,3000,1600,1.430286746,3.97E-05,13.5574873
Au,1.4174,30,1570,3000,1650,1.428809239,3.38E-05,11.17003539
Au,1.4174,30,1570,3000,1700,1.42730923,3.31E-05,10.61968823
Au,1.4242,30,1570,3000,1000,1.444911931,1.92E-04,104.5198647
Au,1.4242,30,1570,3000,1050,1.444911931,1.92E-04,99.54272829
Au,1.4242,30,1570,3000,1100,1.442687165,3.10E-05,15.3656475
Au,1.4242,30,1570,3000,1150,1.441441936,3.28E-05,15.54763747
Au,1.4242,30,1570,3000,1200,1.440170049,4.58E-05,20.8167491
Au,1.4242,30,1570,3000,1250,1.438845063,7.88E-05,34.42497878
Au,1.4242,30,1570,3000,1300,1.437384521,1.77E-04,74.35384341
Au,1.4242,30,1570,3000,1350,1.435596604,5.80E-04,234.6145905
Au,1.4242,30,1570,3000,1400,1.436782365,7.36E-04,286.7187624
Au,1.4242,30,1570,3000,1450,1.434840238,2.21E-04,83.33876586
Au,1.4242,30,1570,3000,1500,1.433270372,9.88E-05,35.94437327
Au,1.4242,30,1570,3000,1550,1.431780277,5.99E-05,21.09847635
Au,1.4242,30,1570,3000,1600,1.430313457,4.12E-05,14.04462301
Au,1.4242,30,1570,3000,1650,1.428836616,3.38E-05,11.18172599
Au,1.4242,30,1570,3000,1700,1.427338924,3.26E-05,10.45240796
Au,1.431,30,1570,3000,1000,1.445208365,7.00E-06,3.822715271
Au,1.431,30,1570,3000,1050,1.444153685,7.51E-05,39.01118823
Au,1.431,30,1570,3000,1100,1.442883595,2.72E-05,13.50265633
Au,1.431,30,1570,3000,1150,1.441652488,2.42E-05,11.50263218
Au,1.431,30,1570,3000,1200,1.440415348,2.78E-05,12.65721207
Au,1.431,30,1570,3000,1250,1.43915809,3.78E-05,16.49016037
